Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
América Mineiro,"38","62","1","0"
SC Corinthians,"38","61","0","2"
Atlético Mineiro,"38","76","2","0"
RB Bragantino,"38","86","1","0"
CR Flamengo,"38","82","1","2"
Fluminense FC,"38","82","1","2"
Athletico Paranaense,"38","81","0","3"
Santos FC,"38","92","0","1"
Atlético Goianiense,"38","88","0","2"
EC Juventude,"38","86","1","2"
Ceará SC,"38","83","2","2"
Chapecoense,"38","74","2","4"
Sport Recife,"38","86","2","2"
Fortaleza EC,"38","86","2","2"
SE Palmeiras,"38","74","5","3"
Cuiabá EC,"38","81","3","3"
EC Bahia,"38","87","3","2"
São Paulo FC,"38","94","0","4"
Grêmio FBPA,"38","100","2","5"
SC Internacional,"38","104","1","10"
