Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Atlético Mineiro,"38","61","1","2"
Athletico Paranaense,"38","79","1","2"
Botafogo FR,"38","67","2","4"
RB Bragantino,"38","73","0","4"
Grêmio FBPA,"38","69","6","2"
Santos FC,"38","77","2","3"
Atlético Goianiense,"38","76","1","4"
São Paulo FC,"38","90","0","2"
Fluminense FC,"38","83","1","3"
CR Flamengo,"38","88","0","3"
Ceará SC,"38","84","4","2"
Fortaleza EC,"38","73","3","5"
CR Vasco da Gama,"38","81","2","4"
EC Bahia,"38","80","1","5"
Sport Recife,"38","89","0","4"
SE Palmeiras,"38","89","2","3"
Coritiba FC,"38","80","4","4"
SC Corinthians,"38","80","2","6"
Goiás Esporte Clube,"38","108","3","1"
SC Internacional,"38","88","1","8"
