Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Chapecoense,"38","74","2","1"
SC Corinthians,"38","75","2","1"
Grêmio FBPA,"38","83","0","1"
Sport Recife,"38","78","3","1"
EC Bahia,"38","81","3","1"
Atlético Mineiro,"38","90","1","1"
Ceará SC,"38","88","2","1"
Santos FC,"38","87","1","2"
Cruzeiro EC,"38","98","1","1"
Fluminense FC,"38","88","2","3"
Athletico Paranaense,"38","88","2","3"
Botafogo FR,"38","89","2","3"
América Mineiro,"38","82","3","5"
São Paulo FC,"38","98","4","2"
SC Internacional,"38","96","2","4"
CR Flamengo,"38","81","2","8"
EC Vitória,"38","108","2","4"
Paraná Clube,"38","97","2","7"
CR Vasco da Gama,"38","101","3","6"
SE Palmeiras,"38","115","0","5"
