Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Botafogo FR,"38","82","2","2"
Santos FC,"38","84","5","1"
Figueirense FC,"38","90","4","1"
SC Corinthians,"38","80","3","4"
CR Vasco da Gama,"38","94","4","1"
CR Flamengo,"38","95","3","2"
Grêmio FBPA,"38","95","4","2"
Atlético Goianiense,"38","96","4","2"
São Paulo FC,"38","89","8","1"
Ceará SC,"38","82","8","3"
Coritiba FC,"38","111","2","1"
Athletico Paranaense,"38","95","5","3"
Cruzeiro EC,"38","95","4","5"
Fluminense FC,"38","107","5","2"
SE Palmeiras,"38","104","3","4"
EC Bahia,"38","110","5","2"
SC Internacional,"38","116","6","1"
Atlético Mineiro,"38","101","6","5"
Avaí FC (SC),"38","113","4","5"
América Mineiro,"38","123","6","2"
