Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Atletico Mineiro,"38","71","5","1"
São Paulo FC,"38","84","1","3"
Cruzeiro EC,"38","75","4","3"
Ipatinga FC,"38","78","2","4"
Santos FC,"38","93","2","1"
CR Flamengo,"38","78","3","5"
EC Vitoria,"38","83","5","3"
Fluminense FC,"38","73","4","6"
Coritiba FC,"38","82","3","5"
CR Vasco da Gama,"38","75","4","6"
Figueirense FC,"38","93","2","4"
Nautico,"38","89","4","4"
SC Internacional,"38","93","6","2"
Grêmio FBPA,"38","95","4","3"
Sport Recife,"38","106","2","2"
Athletico Paranaense,"38","90","6","3"
Portuguesa (SP),"38","92","3","5"
Goias Esporte Clube,"38","100","6","2"
SE Palmeiras,"38","101","5","6"
Botafogo FR,"38","95","6","7"
