Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Chapecoense,"38","67","1","1"
Athletico Paranaense,"38","72","0","1"
Cruzeiro EC,"38","70","0","2"
SC Corinthians,"38","69","1","2"
Sport Recife,"38","74","1","1"
EC Vitória,"38","76","2","0"
Goiás Esporte Clube,"38","75","1","1"
Santos FC,"38","69","3","1"
CR Flamengo,"38","67","1","3"
Fluminense FC,"38","77","2","2"
Atlético Mineiro,"38","83","0","2"
Coritiba FC,"38","92","1","0"
Grêmio FBPA,"38","95","2","1"
São Paulo FC,"38","92","0","4"
SE Palmeiras,"38","82","2","5"
SC Internacional,"38","92","3","3"
Botafogo FR,"38","84","5","4"
EC Bahia,"38","95","5","2"
Criciúma EC,"38","112","3","2"
Figueirense FC,"38","92","4","6"
