Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
EC Vitória,"38","67","0","1"
SC Corinthians,"38","65","1","2"
CR Flamengo,"38","60","2","3"
Goiás Esporte Clube,"38","62","3","2"
Náutico,"38","72","1","2"
Cruzeiro EC,"38","70","1","3"
Santos FC,"38","76","1","2"
Botafogo FR,"38","80","1","2"
AA Ponte Preta,"38","77","2","2"
CR Vasco da Gama,"38","90","2","0"
Grêmio FBPA,"38","73","1","5"
Coritiba FC,"38","96","4","0"
Athletico Paranaense,"38","88","1","4"
São Paulo FC,"38","81","7","2"
Criciúma EC,"38","93","4","2"
SC Internacional,"38","90","5","2"
Fluminense FC,"38","78","4","6"
EC Bahia,"38","100","2","3"
AD Portuguesa,"38","86","3","6"
Atlético Mineiro,"38","101","4","5"
