Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
SC Corinthians,"38","69","0","1"
EC Bahia,"38","60","4","2"
Athletico Paranaense,"38","80","1","0"
Grêmio FBPA,"38","77","1","1"
Atlético Mineiro,"38","67","3","2"
SE Palmeiras,"38","71","1","3"
Ceará SC,"38","84","1","1"
Fortaleza EC,"38","76","5","1"
CR Flamengo,"38","86","2","1"
Cruzeiro EC,"38","79","5","1"
Chapecoense,"38","77","1","4"
CSA,"38","87","3","1"
Botafogo FR,"38","91","2","1"
São Paulo FC,"38","81","2","4"
SC Internacional,"38","93","0","3"
Goiás Esporte Clube,"38","81","3","4"
Fluminense FC,"38","77","5","4"
CR Vasco da Gama,"38","101","2","2"
Avaí FC,"38","75","2","8"
Santos FC,"38","97","6","3"
