Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
América Mineiro,"38","65","1","2"
CR Flamengo,"38","59","3","2"
Athletico Paranaense,"38","76","1","0"
Chapecoense,"38","74","2","0"
Fluminense FC,"38","86","1","0"
Santos FC,"38","74","2","2"
Atlético Mineiro,"38","73","1","3"
SC Corinthians,"38","74","3","2"
SE Palmeiras,"38","94","0","0"
Botafogo FR,"38","92","1","1"
Santa Cruz FC,"38","84","4","1"
São Paulo FC,"38","87","4","1"
Sport Recife,"38","80","4","3"
Coritiba FC,"38","93","3","1"
Figueirense FC,"38","84","4","3"
AA Ponte Preta,"38","96","0","3"
SC Internacional,"38","98","2","3"
EC Vitória,"38","100","5","1"
Grêmio FBPA,"38","93","1","5"
Cruzeiro EC,"38","94","4","5"
