Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
SC Corinthians,"38","73","1","2"
SE Palmeiras,"38","73","1","2"
Atlético Mineiro,"38","88","0","0"
Cuiabá EC,"38","74","4","2"
SC Internacional,"38","83","1","2"
Fortaleza EC,"38","81","2","2"
CR Flamengo,"38","82","1","3"
Athletico Paranaense,"38","87","2","2"
América Mineiro,"38","82","2","3"
Fluminense FC,"38","71","3","6"
Santos FC,"38","98","1","2"
RB Bragantino,"38","84","1","5"
Botafogo FR,"38","93","2","3"
Avaí FC (SC),"38","100","2","2"
São Paulo FC,"38","98","3","3"
Atlético Goianiense,"38","99","1","5"
Goiás Esporte Clube,"38","109","3","2"
EC Juventude,"38","105","2","6"
Coritiba FC,"38","104","3","8"
Ceará SC,"38","119","3","7"
