Clubs, MP,Yellow Cards, 2X Yellow Cards,Red Cards
Avaí FC (SC),"38","87","2","4"
Santos FC,"38","99","3","3"
SC Corinthians,"38","100","3","3"
Athletico Paranaense,"38","94","7","2"
CR Flamengo,"38","108","4","1"
Atlético Mineiro,"38","95","7","3"
Grêmio Barueri,"38","98","7","3"
Botafogo FR,"38","101","5","4"
São Paulo FC,"38","84","11","4"
EC Santo André,"38","108","5","3"
SC Internacional,"38","95","6","5"
Fluminense FC,"38","107","1","7"
Cruzeiro EC,"38","87","8","7"
SE Palmeiras,"38","106","5","5"
Grêmio FBPA,"38","101","7","5"
EC Vitória,"38","104","7","5"
Goiás EC,"38","106","9","4"
Coritiba FC,"38","131","2","5"
Sport Recife,"38","102","12","6"
Náutico,"38","124","4","9"
